date,no2,month,dayofmonth,dayofweek
18/1/2013,55.65600357,1,18,4
18/1/2013,56.93963429,1,18,4
18/1/2013,60.96015429,1,18,4
18/1/2013,61.61299643,1,18,4
18/1/2013,63.27933214,1,18,4
18/1/2013,57.48650571,1,18,4
18/1/2013,57.66354929,1,18,4
18/1/2013,56.46967071,1,18,4
18/1/2013,54.47028929,1,18,4
19/1/2013,53.27013769,1,19,5
19/1/2013,46.847555,1,19,5
19/1/2013,43.83132429,1,19,5
19/1/2013,43.04033429,1,19,5
19/1/2013,44.62077714,1,19,5
19/1/2013,45.52637929,1,19,5
19/1/2013,48.89422429,1,19,5
19/1/2013,51.53706,1,19,5
19/1/2013,53.92850357,1,19,5
19/1/2013,54.96135786,1,19,5
19/1/2013,53.40222429,1,19,5
19/1/2013,49.70741429,1,19,5
19/1/2013,49.74487643,1,19,5
19/1/2013,46.73900714,1,19,5
19/1/2013,45.69140071,1,19,5
19/1/2013,47.56705,1,19,5
19/1/2013,46.10637929,1,19,5
19/1/2013,45.92441786,1,19,5
19/1/2013,41.40753714,1,19,5
19/1/2013,39.50582929,1,19,5
19/1/2013,36.97746929,1,19,5
19/1/2013,36.08317071,1,19,5
19/1/2013,33.42677714,1,19,5
19/1/2013,30.72369857,1,19,5
20/1/2013,29.05283846,1,20,6
20/1/2013,23.066355,1,20,6
20/1/2013,20.92176,1,20,6
20/1/2013,18.83563286,1,20,6
20/1/2013,18.34886643,1,20,6
20/1/2013,19.035385,1,20,6
20/1/2013,20.505825,1,20,6
20/1/2013,24.43297357,1,20,6
20/1/2013,34.283475,1,20,6
20/1/2013,42.77630643,1,20,6
20/1/2013,46.63573214,1,20,6
20/1/2013,48.05299786,1,20,6
20/1/2013,49.54819714,1,20,6
20/1/2013,54.01658214,1,20,6
20/1/2013,55.23477714,1,20,6
20/1/2013,54.43948429,1,20,6
20/1/2013,58.05649929,1,20,6
20/1/2013,58.27274857,1,20,6
20/1/2013,56.50686,1,20,6
20/1/2013,55.34699786,1,20,6
20/1/2013,52.30554357,1,20,6
20/1/2013,53.78113929,1,20,6
20/1/2013,54.22108357,1,20,6
20/1/2013,51.22785071,1,20,6
21/1/2013,52.63876846,1,21,0
21/1/2013,50.89524643,1,21,0
21/1/2013,48.16539143,1,21,0
21/1/2013,44.47300214,1,21,0
21/1/2013,42.16751786,1,21,0
21/1/2013,47.07943071,1,21,0
21/1/2013,61.22940357,1,21,0
21/1/2013,74.12016786,1,21,0
21/1/2013,83.32431214,1,21,0
21/1/2013,80.47967357,1,21,0
21/1/2013,72.07792571,1,21,0
21/1/2013,57.95213385,1,21,0
21/1/2013,56.23772385,1,21,0
21/1/2013,54.82931615,1,21,0
21/1/2013,57.06131385,1,21,0
